county,site,total,dem,rep,estimated,basis,source
Harris,Metropolitan MultiService Center,17052,13295,3757,yes,"primary thru 2/25, scaled x1.58/x1.49",http://web.archive.org/web/20260226212822/https://appfiles.harrisvotes.com/harrisvotes/prd/docs/Uploads/EVPA_unofficial.pdf
Harris,George H W Bush Community Center,11804,5301,6503,yes,"primary thru 2/25, scaled x1.58/x1.49",http://web.archive.org/web/20260226212822/https://appfiles.harrisvotes.com/harrisvotes/prd/docs/Uploads/EVPA_unofficial.pdf
Harris,Richard and Meg Weekley Community Center,11554,7382,4172,yes,"primary thru 2/25, scaled x1.58/x1.49",http://web.archive.org/web/20260226212822/https://appfiles.harrisvotes.com/harrisvotes/prd/docs/Uploads/EVPA_unofficial.pdf
Tarrant,Dionne Phillips Bagsby Southwest Subcourthouse,11247,7696,3551,,primary 2026,https://www.tarrantcountytx.gov/content/dam/main/elections/2026/pm26/ev_reports/Early_Voting_Daily_Totals.pdf
Dallas,Disciple Central Comm Church,11101,10489,612,,primary 2026,https://www.dallascountyvotes.org/wp-content/uploads/2026/02/Early-Voting-Turnout-By-Date-Location-Party-Report_02.28.26.xlsx
Harris,Freeman Branch Library,10800,5770,5030,yes,"primary thru 2/25, scaled x1.58/x1.49",http://web.archive.org/web/20260226212822/https://appfiles.harrisvotes.com/harrisvotes/prd/docs/Uploads/EVPA_unofficial.pdf
Travis,Ben Hur Shrine Center,10670,8818,1852,,primary 2026,https://votetravis.gov/wp-content/uploads/P26-Daily-Totals-1.zip
Montgomery,Kevin Brady Library and Community Center,10367,3313,7054,,primary 2026,https://elections.mctx.org/pdf/PRI030326/rptEVDaily.pdf
Harris,Kingwood Community Center,10267,3314,6953,yes,"primary thru 2/25, scaled x1.58/x1.49",http://web.archive.org/web/20260226212822/https://appfiles.harrisvotes.com/harrisvotes/prd/docs/Uploads/EVPA_unofficial.pdf
Dallas,Fretz Park Library,10039,6201,3838,,primary 2026,https://www.dallascountyvotes.org/wp-content/uploads/2026/02/Early-Voting-Turnout-By-Date-Location-Party-Report_02.28.26.xlsx
Harris,Trini Mendenhall Community Center,9987,4886,5101,yes,"primary thru 2/25, scaled x1.58/x1.49",http://web.archive.org/web/20260226212822/https://appfiles.harrisvotes.com/harrisvotes/prd/docs/Uploads/EVPA_unofficial.pdf
Harris,Prairie View A and M University Northwest,9809,5380,4429,yes,"primary thru 2/25, scaled x1.58/x1.49",http://web.archive.org/web/20260226212822/https://appfiles.harrisvotes.com/harrisvotes/prd/docs/Uploads/EVPA_unofficial.pdf
Harris,HCC West Loop South,9717,6684,3033,yes,"primary thru 2/25, scaled x1.58/x1.49",http://web.archive.org/web/20260226212822/https://appfiles.harrisvotes.com/harrisvotes/prd/docs/Uploads/EVPA_unofficial.pdf
Tarrant,Keller Town Hall,9703,3306,6397,,primary 2026,https://www.tarrantcountytx.gov/content/dam/main/elections/2026/pm26/ev_reports/Early_Voting_Daily_Totals.pdf
Harris,Juergens Hall Community Center,9579,4248,5331,yes,"primary thru 2/25, scaled x1.58/x1.49",http://web.archive.org/web/20260226212822/https://appfiles.harrisvotes.com/harrisvotes/prd/docs/Uploads/EVPA_unofficial.pdf
Williamson,Williamson County Jester Annex,9379,,,,primary 2026,https://www.wilcotx.gov/DocumentCenter/View/18720/Unofficial-Early-Voting-Summary-for-the-March-3-2026-Primary
Dallas,Oak Lawn Branch Library,9310,7867,1443,,primary 2026,https://www.dallascountyvotes.org/wp-content/uploads/2026/02/Early-Voting-Turnout-By-Date-Location-Party-Report_02.28.26.xlsx
Harris,Steve Radack Community Center,9304,5884,3420,yes,"primary thru 2/25, scaled x1.58/x1.49",http://web.archive.org/web/20260226212822/https://appfiles.harrisvotes.com/harrisvotes/prd/docs/Uploads/EVPA_unofficial.pdf
Tarrant,City of Arlington South Service Center,9210,6195,3015,,primary 2026,https://www.tarrantcountytx.gov/content/dam/main/elections/2026/pm26/ev_reports/Early_Voting_Daily_Totals.pdf
Collin,Haggard Library,9131,4364,,yes,Dem primary only; total est. x2.09,talarico-archive tag
Montgomery,Central Library,9055,2729,6326,,primary 2026,https://elections.mctx.org/pdf/PRI030326/rptEVDaily.pdf
Tarrant,Summerglen Branch Library,9028,4878,4150,,primary 2026,https://www.tarrantcountytx.gov/content/dam/main/elections/2026/pm26/ev_reports/Early_Voting_Daily_Totals.pdf
Webb,Laredo Fire Dept.,8948,7462,1486,,primary 2026,https://www.webbcountytx.gov/DocumentCenter/View/2280/Daily-Totals-PDF
Collin,Gay Library,8930,4268,,yes,Dem primary only; total est. x2.09,talarico-archive tag
Cameron,Brownsville Public Library,8896,7025,1871,,primary 2026,https://www.cameroncountytx.gov/elections/wp-content/uploads/2026/02/01_2026_DEMOCRATIC_PRIMARY2-27-2026.pdf ; https://www.cameroncountytx.gov/elections/wp-content/uploads/2026/02/02_2026_REPUBLICAN_PRIMARY2-27-2026.pdf
Fort Bend,CINCO RANCH BRANCH LIBRARY,8861,4207,4654,,primary 2026,https://www.fortbendcountytx.gov/sites/default/files/document-central/document-central/elections-documents/elections-results/2026/Early-Voting-by-Personal-Appearance-Statistics_9.xlsx
Bexar,Brookhollow Branch Library,8691,4638,4053,,primary 2026,https://earlyvotecounts.bexar.org/ (Wayback capture http://web.archive.org/web/20260306200258/https://earlyvotecounts.bexar.org/)
Harris,Nottingham Park Building,8646,4260,4386,yes,"primary thru 2/25, scaled x1.58/x1.49",http://web.archive.org/web/20260226212822/https://appfiles.harrisvotes.com/harrisvotes/prd/docs/Uploads/EVPA_unofficial.pdf
Harris,East Harris County Activity Center,8616,2683,5933,yes,"primary thru 2/25, scaled x1.58/x1.49",http://web.archive.org/web/20260226212822/https://appfiles.harrisvotes.com/harrisvotes/prd/docs/Uploads/EVPA_unofficial.pdf
Williamson,Cedar Park Rec Center,8518,,,,primary 2026,https://www.wilcotx.gov/DocumentCenter/View/18720/Unofficial-Early-Voting-Summary-for-the-March-3-2026-Primary
Harris,City of Jersey Village Civic Center,8426,4204,4222,yes,"primary thru 2/25, scaled x1.58/x1.49",http://web.archive.org/web/20260226212822/https://appfiles.harrisvotes.com/harrisvotes/prd/docs/Uploads/EVPA_unofficial.pdf
Travis,PfISD Rock Gym,8388,6646,1742,,primary 2026,https://votetravis.gov/wp-content/uploads/P26-Daily-Totals-1.zip
Tarrant,Bedford Public Library,8338,4267,4071,,primary 2026,https://www.tarrantcountytx.gov/content/dam/main/elections/2026/pm26/ev_reports/Early_Voting_Daily_Totals.pdf
Bexar,Encino Branch Library,8259,4507,3752,,primary 2026,https://earlyvotecounts.bexar.org/ (Wayback capture http://web.archive.org/web/20260306200258/https://earlyvotecounts.bexar.org/)
Dallas,Duncanville Library,8097,6664,1433,,primary 2026,https://www.dallascountyvotes.org/wp-content/uploads/2026/02/Early-Voting-Turnout-By-Date-Location-Party-Report_02.28.26.xlsx
Montgomery,North Montgomery County Community Center,8066,1555,6511,,primary 2026,https://elections.mctx.org/pdf/PRI030326/rptEVDaily.pdf
Harris,SPJST Lodge 88,7999,6024,1975,yes,"primary thru 2/25, scaled x1.58/x1.49",http://web.archive.org/web/20260226212822/https://appfiles.harrisvotes.com/harrisvotes/prd/docs/Uploads/EVPA_unofficial.pdf
Montgomery,Lone Star Community Center,7941,942,6999,,primary 2026,https://elections.mctx.org/pdf/PRI030326/rptEVDaily.pdf
Tarrant,ACTIV,7934,4043,3891,,primary 2026,https://www.tarrantcountytx.gov/content/dam/main/elections/2026/pm26/ev_reports/Early_Voting_Daily_Totals.pdf
Tarrant,Gary Fickes Northeast Courthouse,7870,3100,4770,,primary 2026,https://www.tarrantcountytx.gov/content/dam/main/elections/2026/pm26/ev_reports/Early_Voting_Daily_Totals.pdf
Harris,HCPL Octavia Fields Branch Library,7788,5789,1999,yes,"primary thru 2/25, scaled x1.58/x1.49",http://web.archive.org/web/20260226212822/https://appfiles.harrisvotes.com/harrisvotes/prd/docs/Uploads/EVPA_unofficial.pdf
Collin,Davis Library,7716,3688,,yes,Dem primary only; total est. x2.09,talarico-archive tag
Tarrant,Tarrant County Sub-Courthouse at Mansfield,7568,4336,3232,,primary 2026,https://www.tarrantcountytx.gov/content/dam/main/elections/2026/pm26/ev_reports/Early_Voting_Daily_Totals.pdf
Tarrant,Como Community Center,7559,4782,2777,,primary 2026,https://www.tarrantcountytx.gov/content/dam/main/elections/2026/pm26/ev_reports/Early_Voting_Daily_Totals.pdf
Collin,Allen Municipal Courts Facility,7551,3609,,yes,Dem primary only; total est. x2.09,talarico-archive tag
Travis,Randalls Brodie,7415,5969,1446,,primary 2026,https://votetravis.gov/wp-content/uploads/P26-Daily-Totals-1.zip
Harris,Fallbrook Church,7297,6618,679,yes,"primary thru 2/25, scaled x1.58/x1.49",http://web.archive.org/web/20260226212822/https://appfiles.harrisvotes.com/harrisvotes/prd/docs/Uploads/EVPA_unofficial.pdf
Collin,Carpenter Park Recreation Center,7269,3474,,yes,Dem primary only; total est. x2.09,talarico-archive tag
